家族料号,物料编码,物料说明,产品型号
10.006.087,1.006.087.005,FW-1000-GA640-研祥(C4600),FW-1000-GA640
10.006.087,1.006.087.006,NIPS-1000-GA640-研祥(C4600),NIPS-1000-GA640
10.006.087,1.006.087.007,WAF-1000-GA640-研祥(C4600),WAF-1000-GA640
10.006.087,1.006.087.C202012210042,FW-1000-GA640-研祥(C4600)(定制),FW-1000-GA640
10.006.087,1.006.087.005,FW-1000-GA640-研祥(C4600),FW-1000-GA640
10.006.087,1.006.087.007,WAF-1000-GA640-研祥(C4600),WAF-1000-GA640
10.006.090,1.006.090.C202006150081,AF-1000-E820-(C3000)(4光客供)(定制),AF-1000-E820
10.006.090,1.006.090.B202007300001,AF-1000-B1600-(C3000)(定制),AF-1000-B1600
10.006.090,1.006.090.C202006150081,AF-1000-E820-(C3000)(4光客供)(定制),AF-1000-E820
10.006.090,1.006.090.C202007200014,AF-1000-F640-(C3000)(8光客供)(定制),AF-1000-F640
10.006.090,1.006.090.C20200720001401,AF-1000-E820-(C3000)(4光客供)(定制),AF-1000-E820
10.006.090,1.006.090.C20200720001402,AF-1000-E820-(C3000)(4光客供)(定制),AF-1000-E820
10.006.091,1.006.091.C202010300088,AF-1000-B1800-(C3000)(定制),AF-1000-B1800
10.006.091,1.006.091.C202102040002,DH-VSAG-(C3000)(OEM定制大华LOGO),DH-VSAG
10.006.111,1.006.111.C2020121900001,AF-1000-B1120-德晟达(Apollo)(定制),AF-1000-B1120
10.006.111,1.006.111.C202010120066,DH-VSAG-德晟达(Apollo)(OEM定制大华LOGO),DH-VSAG
10.006.111,1.006.111.C202010120066,DH-VSAG-德晟达(Apollo)(OEM定制大华LOGO),DH-VSAG
10.006.111,1.006.111.C202010270053,DH-SACG-德晟达(Apollo)(OEM定制大华LOGO),DH-SACG
10.006.111,1.006.111.002,AF-1000-B1120-智微(Apollo)(SSD-64G),AF-1000-B1120
10.006.111,1.006.111.003,AF-1000-B1120-(C3000精简版),AF-1000-B1120
10.015.024,1.015.024.001,SDW-R-B1100D-创实(3720),SDW-R-B1100D
10.015.024,1.015.024.20190929001,SDW-R-B1100D-创实(3720)(WIFI)(定制),SDW-R-B1100D
10.015.024,1.015.024.20190929002,SDW-R-B1100D-创实(3720)(WIFI)(4G)(定制),SDW-R-B1100D
10.015.024,1.015.024.C202007090046,SDW-R-B1080D-W-创实(3720)(双频双路WIFI)(定制),SDW-R-B1080D-W
10.015.024,1.015.024.002,SDW-R-B1100D-创实(3720)(JDSC新外观),SDW-R-B1100D
10.015.024,1.015.024.001,SDW-R-B1100D-创实(3720),SDW-R-B1100D
10.015.024,1.015.024.C202006170066,SDW-R-B1100D-创实(3720)(定制),SDW-R-B1100D
10.015.024,1.015.024.C202007090046,SDW-R-B1080D-W-创实(3720)(双频双路WIFI)(定制),SDW-R-B1080D-W
10.015.024,1.015.024.C202009080068,SDW-R-B1100D-创实(3720)(定制),SDW-R-B1100D
10.015.026,1.015.026.C202009080064,DH-VSAG-创实(3720)(OEM定制大华LOGO),DH-VSAG
10.015.026,1.015.026.C202009190005,DH-VSAG-创实(3720)(OEM定制大华LOGO),DH-VSAG
